"Timestamp","Which MSc will you be studying?","What is your study mode?","What subject (or the main subject) did you study for your first degree? Please choose the closest answer. ","Please indicate your *chief* motivation for undertaking the MSc. ","How would you describe your understanding of statistics?","How confident are you at programming?","Please indicate any programming languages with which you have basic familiarity","What are you most excited about regarding this module?","What concerns you the most regarding this module?"
"2020/09/25 10:19:17 am CET","MSc Data Science Analytics (DSA)","Part-time","Business studies","Enhance overall employability","7","9","Python;R;Basic or Visual Basic","It’s more Practical and Hands On","Exclusive Reliance on R rather than a combination of few languages such as Python"
"2020/09/27 9:53:55 am CET","MSc Data Science Analytics (DSA)","Full-time","Computer science","To learn specific skills","8","8","Java or javascript","",""
"2020/09/27 10:05:47 am CET","MSc Artificial Intelligence (AI)","Full-time","Engineering","Interest / academic curiosity","8","3","Python;Java or javascript","Being able to build predictive models. Understanding the applications of data.","Workload and learning to programme proficiently enough in the time available"
"2020/09/28 3:47:51 am CET","MSc Data Science Analytics (DSA)","Full-time","Engineering","Enhance overall employability","3","3","Python","It's a new challenge for my lifetime!","Is R language hard to learn?"
"2020/09/28 10:28:14 am CET","MSc Data Science Analytics (DSA)","Full-time","Computer science","Enhance overall employability","7","6","Python;Java or javascript;R","Learning new skills, and seeing the usage.","Remembering the techniques use for programming."
"2020/09/28 12:02:01 pm CET","MSc Data Science Analytics (DSA)","Part-time","Computer science","To learn specific skills","3","6","Java or javascript;PHP","",""
"2020/09/28 12:05:13 pm CET","MSc Data Science Analytics (DSA)","Full-time","Psychology","Enhance overall employability","4","3","None","Learning new things","Not understanding anything"
"2020/09/28 3:36:44 pm CET","MSc Data Science Analytics (DSA)","Full-time","Maths","To learn specific skills","6","2","Python","Attaining the skills needed to complete my first DS project","Coding"
"2020/09/28 4:56:25 pm CET","MSc Data Science Analytics (DSA)","Full-time","Nutrition","To learn specific skills","5","5","Basic or Visual Basic","Learning about data formally. I worked with data for a while and picked stuff up and wanted to learn more.","Learning the programming language R"
"2020/09/28 6:10:34 pm CET","MSc Data Science Analytics (DSA)","Full-time","Computer science","Enhance overall employability","7","9","Java or javascript;C or C++;PHP","",""
"2020/09/28 9:07:56 pm CET","MSc Data Science Analytics (DSA)","Full-time","Computer science","Enhance overall employability","4","7","Java or javascript;C or C++;Basic or Visual Basic","Getting to work hands on data and learning different ways to wrangle data.","Learning statistics and developing it in R."
"2020/09/28 9:59:34 pm CET","MSc Data Science Analytics (DSA)","Full-time","Computer science","Enhance overall employability","2","7","Python;.net","I want to learn new things and work with data.","I know nothing about statistics."
"2020/09/29 7:33:41 am CET","MSc Data Science Analytics (DSA)","Full-time","Natural sciences e.g. chemistry or biology","Enhance overall employability","3","1","Python","Learning Statistics with R",""
"2020/09/29 9:34:52 am CET","MSc Data Science Analytics (DSA)","Part-time","Biomedical Sciences","Enhance overall employability","5","5","SQL","The prospect of learning new skills that I can one day use for work.","Having a less mathematical background makes me wonder whether I will grasp the content within this module."
"2020/09/29 11:38:33 am CET","MSc Data Science Analytics (DSA)","Full-time","Engineering","To learn specific skills","6","3","Python;R","To learn how to analyze and visualize data by using tools","Do not have sufficient knowledge about programming"
"2020/09/29 11:51:52 am CET","MSc Data Science Analytics (DSA)","Full-time","Engineering","Enhance overall employability","6","10","Python","",""
"2020/09/29 12:58:20 pm CET","MSc Data Science Analytics (DSA)","Part-time","Engineering","Enhance overall employability","7","1","C or C++","Learning new skills and tp be involved in the technology world","Not having a strong background in programing and coding"
"2020/09/29 1:40:10 pm CET","MSc Data Science Analytics (DSA)","Full-time","Natural sciences e.g. chemistry or biology","Interest / academic curiosity","3","2","None","Learning to code and enhancing employbility for the future ","Limitations due to my ability to code and unfamiliarity with the expectations/structure of written coursework in the computer science field. "
"2020/09/29 2:30:07 pm CET","MSc Data Science Analytics (DSA)","Full-time","Computer science","To learn specific skills","1","9","Java or javascript","I can learn something I don't know before","What is the course about"
"2020/09/29 2:40:42 pm CET","MSc Data Science Analytics (DSA)","Full-time","Business studies","Interest / academic curiosity","5","4","Python;R","The programming, maths and statistics ","The programming, maths and statistics "
"2020/09/29 2:52:53 pm CET","MSc Data Science Analytics (DSA)","Full-time","Economics","Interest / academic curiosity","7","4","R","Learning more about the world of Data","Getting a hang of things "
"2020/09/29 3:06:02 pm CET","MSc Data Science Analytics (DSA)","Full-time","Natural sciences e.g. chemistry or biology","Interest / academic curiosity","4","3","None","",""
"2020/09/29 6:09:03 pm CET","MSc Data Science Analytics (DSA)","Full-time","Computer science","Enhance overall employability","7","8","Python;Java or javascript","Getting formal education on working with modern data","I would have preferred Python instead of R for this course"
"2020/09/29 6:30:13 pm CET","MSc Data Science Analytics (DSA)","Full-time","Photography & Film","To learn specific skills","3","2","Python","Gaining Analytical Skills and learning more about R","My lack of knowledge regarding R. I have previously learned basic Python. However I do have a Data Camp Subscription so I am hoping to pick up R Skills too. "
"2020/09/29 8:41:54 pm CET","MSc Artificial Intelligence (AI)","Full-time","Computer science","Enhance overall employability","4","9","Python;Java or javascript;R;C or C++;PHP","How we can use AI in data analysis ","Understanding and implementation of correct Statistics "
"2020/09/29 11:18:08 pm CET","MSc Artificial Intelligence (AI)","Full-time","Computer science","Enhance overall employability","5","4","Java or javascript;R","R language ","Coding "
"2020/09/30 1:21:13 am CET","MSc Data Science Analytics (DSA)","Full-time","Computer science","Enhance overall employability","5","10","Python;Java or javascript;PHP;c#, SQL","The fact that this module will enable us to better understand the traces(datas) left by people. ","I think my knowledge of mathematics is not enough. Even though I am good at programming, I am weak in mathematics"
"2020/09/30 4:02:33 am CET","MSc Data Science Analytics (DSA)","Full-time","Computer science","Interest / academic curiosity","8","9","Python;Java or javascript;PHP;Basic or Visual Basic","",""
"2020/09/30 7:30:00 am CET","MSc Data Science Analytics (DSA)","Full-time","Nutrition","Interest / academic curiosity","4","3","Python;SQL","",""
"2020/09/30 9:04:09 am CET","MSc Data Science Analytics (DSA)","Full-time","Computer science","To learn specific skills","6","9","Java or javascript;C or C++;PHP","I am mostly excited about exploring the richness of data with a custom-centric approach",""
"2020/09/30 9:17:38 am CET","MSc Data Science Analytics (DSA)","Full-time","Engineering","As a step towards doing original research","8","7","Python;Java or javascript;R;C or C++;PHP","this course and cs5701 would be quite special for me, since they will the opening door to the data science.","There is not any particular aspect, just I am a bit anxious about how I can keep up with module and its assignments. "
"2020/09/30 11:27:25 am CET","MSc Data Science Analytics (DSA)","Full-time","Statistics","Interest / academic curiosity","10","7","Python;R","",""
"2020/09/30 12:36:07 pm CET","MSc Data Science Analytics (DSA)","Full-time","Psychology","Enhance overall employability","7","4","Python;Java or javascript","",""
"2020/09/30 1:06:53 pm CET","MSc Data Science Analytics (DSA)","Full-time","Psychology","Interest / academic curiosity","10","8","Python;R;C or C++","Learning how to code and become a data analyst","R-based teaching instead of python as majority of industry focuses on python"
"2020/09/30 3:18:31 pm CET","MSc Data Science Analytics (DSA)","Full-time","Computer science","Interest / academic curiosity","10","9","Python;Java or javascript;C or C++;PHP;Basic or Visual Basic","To know, learn and understand different concepts","Regarding the data analytics"
"2020/09/30 3:28:30 pm CET","MSc Data Science Analytics (DSA)","Full-time","Economics","Enhance overall employability","9","5","Python","","Programming issues "
"2020/09/30 3:29:45 pm CET","MSc Data Science Analytics (DSA)","Full-time","sport health and exercise science","Enhance overall employability","4","3","Python;R","",""
"2020/09/30 3:30:02 pm CET","MSc Data Science Analytics (DSA)","Part-time","Business studies","Enhance overall employability","7","9","Python;Java or javascript;R;Basic or Visual Basic","Algothrims","Distance Learning"
"2020/09/30 3:30:13 pm CET","MSc Data Science Analytics (DSA)","Full-time","Natural sciences e.g. chemistry or biology","Enhance overall employability","5","1","None","learning how to code and using data visualisation techniques","getting left behind due to my lack of previous CS experience "
"2020/09/30 3:30:14 pm CET","MSc Data Science Analytics (DSA)","Full-time","Engineering","To learn specific skills","5","5","C or C++;jquery","python learning",""
"2020/09/30 3:30:29 pm CET","MSc Data Science Analytics (DSA)","Full-time","Natural sciences e.g. chemistry or biology","Enhance overall employability","4","1","None","learning programming languages","feeling overwhelmed with all the info"
"2020/09/30 3:30:50 pm CET","MSc Artificial Intelligence (AI)","Full-time","Computer science","Enhance overall employability","8","6","Java or javascript","Learning more about data manipulation","go through basics once"
"2020/09/30 3:30:58 pm CET","MSc Data Science Analytics (DSA)","Full-time","Computer science","Enhance overall employability","7","7","Java or javascript;C or C++;PHP","Learning more about manipulating statistics into real life data","Possibly virtual learning"
"2020/09/30 3:31:13 pm CET","MSc Data Science Analytics (DSA)","Full-time","Computer science","Enhance overall employability","3","3","None","Applying learnings to real world environments.","Assignments regarding coding advancing faster than I learn."
"2020/09/30 3:31:43 pm CET","MSc Data Science Analytics (DSA)","Full-time","Engineering","Enhance overall employability","7","3","None","R and R studio","Ability to keep up but I'm confident it should be alright"
"2020/09/30 3:31:57 pm CET","MSc Data Science Analytics (DSA)","Full-time","Engineering","Enhance overall employability","2","1","None","I am looking to learn this as good as others","The lectures are too fast. I have never been this confused and overwhelmed all my life. I am crying right now i really do not know what to do. I feel like i have failed even from the start."
"2020/09/30 3:31:59 pm CET","MSc Data Science Analytics (DSA)","Full-time","Computer science","Enhance overall employability","3","3","Python;Java or javascript","The future of data analysis","What job can I find after graduation"
"2020/09/30 3:32:13 pm CET","MSc Data Science Analytics (DSA)","Full-time","Pharmaceutical sciences","Enhance overall employability","1","1","None","To learn programming skills and statistics","This course has hired people from non-programming background however as we attended the lab sessions for quantitative data analysis we were just treated as experts in programming which is very scary and overwhelming! I personally feel we should be provided with material to study about the basics etc if the labs are going to be advanced."
"2020/09/30 3:32:29 pm CET","MSc Data Science Analytics (DSA)","Full-time","Economics & Accounting ","To learn specific skills","5","1","None","R","R"
"2020/09/30 3:32:47 pm CET","MSc Data Science Analytics (DSA)","Full-time","Engineering","Enhance overall employability","7","5","C or C++","The whole module.","Nothing as of now."
"2020/09/30 3:32:49 pm CET","MSc Data Science Analytics (DSA)","Full-time","Maths","Enhance overall employability","4","3","Python;C or C++","Usage of R and other programming languages","financial issues not immediately pertaining to  actual course content"
"2020/09/30 3:32:52 pm CET","MSc Data Science Analytics (DSA)","Full-time","Engineering","Enhance overall employability","5","3","Python;Java or javascript","Learn more about Data and how R can be used in real world problems","I am worried I do not have much programming background"
"2020/09/30 3:33:36 pm CET","MSc Data Science Analytics (DSA)","Full-time","Business studies","Enhance overall employability","5","1","None","","not being able to get familiar with programs & not being able to get help practically during seminars"
"2020/09/30 3:35:00 pm CET","MSc Artificial Intelligence (AI)","Full-time","Computer science","Interest / academic curiosity","6","10","Python;Java or javascript;PHP;Basic or Visual Basic","Machine Learning","Anything related to ethics"
"2020/09/30 3:35:26 pm CET","MSc Data Science Analytics (DSA)","Full-time","Computer science","Enhance overall employability","7","5","Java or javascript;C or C++;PHP","learning how to analyze data","The programming aspect. I am not the best programmer. I can get my way around a bit of programming but I definitely do struggle with the more complex parts of it"
"2020/09/30 3:35:33 pm CET","MSc Data Science Analytics (DSA)","Full-time","Statistics","Interest / academic curiosity","10","6","Python;R","",""
"2020/09/30 3:38:42 pm CET","MSc Artificial Intelligence (AI)","Full-time","Computer science","To learn specific skills","8","7","Python;Java or javascript","",""
"2020/09/30 3:39:17 pm CET","MSc Data Science Analytics (DSA)","Full-time","Engineering","To learn specific skills","6","6","Python;R","",""
"2020/09/30 3:40:12 pm CET","MSc Data Science Analytics (DSA)","Full-time","Computer science","Enhance overall employability","8","8","Java or javascript;C or C++;Asp.net","Learning more data about more data and machine learning as we can see how the pandamic drove the decision making using data","Learning the machine learning techniques"
"2020/09/30 3:40:46 pm CET","MSc Data Science Analytics (DSA)","Full-time","Maths","Enhance overall employability","7","5","Python","Machine Learning","Time constraints "
"2020/09/30 3:41:29 pm CET","MSc Data Science Analytics (DSA)","Full-time","Maths","As a step towards doing original research","1","1","Java or javascript","It is very much logical, has a good learning outcomes","it might be a little  difficult for a non background people "
"2020/09/30 3:43:43 pm CET","MSc Data Science Analytics (DSA)","Full-time","Maths","Enhance overall employability","6","1","None","i would be able to understand and use R other tools for statistical problems","i want to understand and be able to implement what i learn"
"2020/09/30 4:37:42 pm CET","MSc Data Science Analytics (DSA)","Full-time","Actuarial science","Enhance overall employability","10","9","Python;R","",""
"2020/09/30 9:15:36 pm CET","MSc Data Science Analytics (DSA)","Full-time","Statistics","Interest / academic curiosity","10","6","Python;R","",""
