LOC_BLANK,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,NUMBER_OF_LINES,LOC_TOTAL,Defective
2,14,78,42,12,174,93,Y
6,1,58,80,25,204,139,N
0,0,0,0,1,12,11,N
0,1,23,10,4,48,24,N
1,0,9,0,1,28,17,N
0,4,15,16,13,80,64,N
1,1,0,16,5,35,33,N
1,0,11,8,3,41,28,N
1,0,12,12,4,68,41,Y
1,0,3,4,2,24,19,N
2,0,3,4,2,25,19,N
2,3,35,10,4,79,41,N
14,0,7,4,2,63,41,N
5,0,6,4,2,42,30,N
10,2,65,56,15,227,151,N
0,0,6,4,2,26,19,N
12,23,65,60,20,231,153,Y
6,6,7,20,9,77,63,Y
1,0,6,4,2,50,42,N
1,6,13,4,2,35,20,N
1,0,12,4,2,36,22,N
0,0,9,8,3,37,27,N
0,0,0,0,1,9,8,N
0,0,0,0,1,8,7,N
1,1,4,16,5,38,32,N
0,0,3,0,1,12,8,N
0,0,3,0,1,15,11,N
0,0,3,0,1,7,3,N
0,0,3,0,1,7,3,N
0,0,0,0,1,4,3,N
0,0,0,0,1,5,4,N
0,0,0,0,1,4,3,N
0,0,9,0,1,7,4,N
5,7,39,34,10,179,134,N
3,6,4,16,5,63,55,Y
13,1,5,12,4,65,46,N
67,27,41,56,15,228,119,N
9,7,11,12,4,46,25,N
15,9,22,20,6,83,45,N
0,1,1,0,1,8,6,N
6,4,0,8,3,33,26,N
21,10,22,12,4,84,40,N
2,1,1,0,1,10,6,N
9,6,10,12,4,42,22,N
2,1,1,0,1,10,16,N
10,7,10,12,4,43,22,N
46,35,31,36,10,153,75,N
2,1,1,0,1,10,6,N
2,1,1,0,1,10,6,N
8,8,14,0,2,43,20,N
1,1,7,0,1,15,6,N
33,18,28,20,6,124,62,N
10,5,0,16,5,47,36,N
25,11,21,20,6,80,33,N
9,2,13,12,4,45,22,N
10,2,4,4,2,42,27,N
6,5,4,4,2,26,15,N
6,5,4,4,2,26,15,N
2,3,3,0,1,14,8,N
7,4,8,8,3,34,18,N
20,4,16,18,6,68,31,N
3,3,3,0,1,32,9,N
14,3,12,12,4,50,23,N
19,4,18,20,7,77,32,N
7,0,3,0,1,14,3,N
36,21,29,40,12,143,66,N
22,0,21,0,1,78,34,N
3,2,2,4,2,19,13,N
3,2,2,4,2,19,13,N
9,14,22,28,8,73,41,N
5,4,12,4,2,32,14,N
1,3,3,4,2,17,12,N
1,3,3,4,2,17,12,N
49,6,57,30,10,211,104,N
77,20,56,94,25,343,192,N
2,0,0,0,1,9,6,N
40,2,11,8,3,82,30,Y
31,1,29,12,4,105,44,N
34,11,31,4,2,113,47,N
14,11,5,12,4,52,32,N
2,2,7,0,1,18,8,N
1,2,0,0,1,9,7,N
1,3,0,0,1,10,8,N
5,5,0,0,1,19,13,N
4,6,0,0,1,17,12,N
5,1,1,12,4,24,17,N
4,0,7,8,3,26,14,N
39,6,51,66,19,185,94,N
18,7,6,4,4,61,36,N
49,16,37,78,21,163,76,N
31,12,25,34,10,121,64,N
1,1,0,0,1,10,8,N
7,2,5,0,1,23,10,N
84,44,76,66,19,306,145,N
17,28,6,28,8,81,57,N
16,3,8,18,6,50,25,N
6,3,4,0,1,34,23,N
5,7,3,4,6,45,36,N
2,0,0,0,1,12,9,N
1,1,0,8,4,18,16,N
7,2,7,4,2,31,16,N
1,0,0,0,3,24,22,N
17,5,0,14,15,86,68,N
3,2,1,8,2,16,11,N
3,2,0,8,2,15,11,N
6,1,1,8,4,26,18,N
25,7,0,12,5,60,34,N
7,0,0,0,7,45,37,N
13,2,0,32,9,78,64,N
7,0,9,4,2,29,12,N
2,0,0,12,4,27,24,N
5,4,0,8,3,23,17,N
22,3,13,16,3,71,35,N
1,0,0,4,2,12,10,N
9,4,3,8,3,34,21,N
1,0,0,4,2,9,7,N
0,0,0,0,1,4,3,N
0,0,0,0,1,8,7,N
1,0,0,8,3,11,9,N
1,0,0,8,3,13,11,N
0,0,0,0,1,5,4,N
0,0,0,0,1,4,3,N
1,0,0,4,2,9,7,N
0,0,0,0,1,4,3,N
0,0,0,0,1,8,7,N
1,0,0,8,3,11,9,N
1,0,0,8,3,13,11,N
0,0,0,0,1,5,4,N
0,0,0,0,1,4,3,N
1,0,0,4,2,9,7,N
0,0,0,0,1,4,3,N
0,0,0,0,1,8,7,N
1,0,0,8,3,11,9,N
1,0,0,8,3,13,11,N
0,0,0,0,1,5,4,N
0,0,0,0,1,4,3,N
40,25,13,16,6,151,73,N
2,0,2,4,2,12,7,N
2,0,2,4,2,12,7,N
2,0,2,4,2,12,7,N
2,0,2,4,2,12,7,N
2,0,2,4,2,12,7,N
2,0,2,4,2,12,7,N
2,0,2,4,2,12,7,N
8,2,14,10,4,23,17,N
1,0,0,0,1,11,2,N
1,0,0,0,1,11,2,N
8,0,12,0,1,8,3,N
3,2,0,0,1,19,6,N
2,0,8,4,2,9,9,N
4,0,10,4,2,11,8,N
3,0,5,4,2,17,8,N
1,0,0,0,1,5,3,N
0,0,0,0,1,5,4,N
4,0,10,4,2,11,8,N
3,0,2,4,2,15,9,N
13,4,19,8,3,50,17,N
1,0,0,0,1,5,3,N
0,0,0,0,1,5,4,N
9,0,0,32,9,34,24,N
16,0,15,12,4,57,25,N
82,6,100,74,23,390,182,N
22,9,31,12,4,95,41,N
9,0,12,4,2,40,18,N
12,3,4,8,3,34,17,N
14,4,21,10,4,95,33,N
38,5,70,58,18,218,109,N
39,4,58,40,12,177,72,N
2,1,0,0,1,11,8,N
19,4,16,12,4,84,25,N
25,6,39,28,8,142,77,Y
27,1,19,4,2,70,23,Y
1,0,0,4,2,12,10,N
34,5,26,30,9,132,71,N
2,0,0,0,1,6,3,N
9,0,17,12,5,49,22,Y
32,16,23,24,7,138,75,Y
10,1,3,0,1,34,20,Y
13,9,7,8,3,49,28,N
0,0,0,0,1,8,7,N
0,0,0,0,1,9,8,N
0,0,0,0,1,9,8,N
0,0,0,0,1,9,8,N
3,0,0,4,2,23,19,N
6,1,6,4,2,24,11,N
3,0,1,0,1,16,11,N
1,0,0,0,1,11,9,N
0,0,0,0,1,8,7,N
2,0,1,0,1,12,8,N
3,0,0,4,2,19,15,N
30,4,62,16,24,186,93,Y
6,4,15,4,2,36,14,N
13,3,24,12,4,73,35,Y
0,0,0,0,1,7,6,N
31,7,28,34,11,141,81,Y
17,0,4,0,4,54,32,Y
12,1,16,20,6,74,45,N
6,0,2,0,1,17,8,N
0,0,0,4,2,16,15,N
0,0,0,0,1,8,7,N
51,9,73,62,18,241,116,Y
0,0,0,0,1,8,7,Y
1,0,0,0,1,8,6,N
11,0,12,0,1,36,12,N
2,2,0,4,2,17,14,N
4,4,0,8,3,26,21,N
0,0,0,12,4,18,17,N
3,0,0,16,6,19,15,N
3,0,0,4,2,18,14,N
2,0,0,4,2,13,10,N
25,6,15,42,13,117,76,N
5,3,2,12,4,35,27,N
5,3,2,0,1,17,9,N
15,7,9,8,3,44,19,N
3,2,1,0,1,12,7,N
5,4,2,0,1,20,12,N
6,2,2,4,2,20,11,N
5,2,2,4,2,19,11,N
5,3,2,0,1,17,9,N
3,2,1,0,1,14,9,N
10,15,2,22,7,36,23,N
14,1,9,8,3,44,20,N
35,28,17,52,16,157,104,N
6,7,2,8,3,24,15,N
17,8,19,16,5,72,35,N
16,10,7,8,3,54,30,N
11,14,5,20,6,58,41,N
81,80,165,248,96,750,503,N
20,2,2,12,4,35,12,N
115,35,12,60,16,212,84,N
156,53,27,116,32,330,138,N
48,61,32,106,29,307,226,N
17,6,8,38,11,93,67,N
74,30,18,42,12,186,93,N
33,8,4,8,3,62,24,N
4,3,0,12,4,27,22,N
4,3,0,20,6,33,28,N
1,1,0,16,5,38,36,N
0,0,0,0,1,15,14,N
5,2,0,16,5,33,27,N
2,1,0,16,5,34,31,N
1,1,0,4,2,20,18,N
1,1,0,12,4,18,16,N
1,1,0,8,13,52,50,N
1,1,0,12,14,55,53,N
4,1,0,24,7,48,43,N
16,5,8,42,13,92,67,N
40,30,19,46,13,155,95,N
77,25,15,62,17,201,100,N
4,4,0,4,2,19,14,N
0,0,0,0,1,4,3,N
3,2,2,0,1,15,9,N
3,1,0,0,1,8,4,N
3,1,0,0,1,8,4,N
4,2,6,4,2,19,8,N
3,2,2,0,1,15,9,N
3,1,0,0,1,8,4,N
3,1,0,0,1,8,4,N
4,2,6,4,2,19,8,N
5,1,7,0,1,20,7,N
5,1,7,0,1,20,7,N
7,0,7,4,2,30,15,N
5,0,3,0,1,18,9,N
5,0,3,0,1,18,9,N
16,1,19,0,1,57,21,N
0,0,0,0,1,4,3,N
7,0,4,?,1,28,16,N
2,1,1,0,1,10,6,N
1,3,1,0,1,10,7,N
2,4,5,0,1,17,9,N
3,2,5,4,2,20,11,N
2,4,0,0,3,25,22,N
27,4,33,6,10,103,42,N
6,2,2,16,6,25,16,N
20,7,14,22,13,89,54,N
4,0,1,4,2,17,11,N
5,0,2,4,2,19,11,N
3,1,2,4,2,18,12,N
7,3,7,12,4,39,24,N
12,2,22,8,3,56,21,Y
7,1,5,12,4,37,24,N
14,3,34,8,3,70,21,Y
10,3,11,8,3,47,25,Y
8,2,19,8,3,50,22,Y
0,2,0,8,3,16,15,Y
0,0,0,8,3,14,13,N
7,0,7,0,1,23,8,Y
0,0,0,8,3,22,21,N
10,2,31,26,8,88,46,Y
4,4,18,64,18,118,95,Y
0,0,0,8,3,22,21,N
0,0,0,10,4,23,22,N
2,1,9,24,8,54,42,N
2,2,13,8,3,65,49,Y
5,0,0,10,4,28,22,N
4,1,7,10,4,37,25,Y
35,9,59,36,11,186,91,Y
4,1,12,4,2,28,11,Y
0,2,7,18,6,38,30,Y
14,5,1,16,5,49,33,N
5,0,0,4,2,16,10,N
12,0,0,36,10,63,50,N
8,1,0,32,10,39,30,N
12,0,0,36,10,63,50,N
0,0,0,0,1,4,3,N
7,2,0,8,3,32,24,N
5,2,3,18,6,29,20,N
1,0,0,0,1,9,7,N
1,0,0,0,1,12,10,N
3,0,0,8,3,16,12,N
17,1,8,36,11,68,42,N
16,0,5,24,7,81,59,N
11,0,4,16,5,58,42,N
2,0,0,0,1,11,8,N
1,0,0,4,2,11,9,N
10,1,16,24,7,67,40,N
2,0,0,0,1,15,12,N
